Id,llm_title_response,llm_body_response,Title,Body,ImageURLs
79041624,How to Properly Use 'require' in Node.js for Module Imports?,"I'm working on a Node.js project and using the 'require' function to import modules in my JavaScript file. However, I'm unsure if I'm using it correctly, especially when importing custom modules like 'plistParser' and 'request'. Here's a snippet of my code:

```javascript
'use strict';

var path = require('path');
var fs = require('fs');
var plistParser = require('./plistParser');
var request = require('request');
```

I want to ensure that I'm following best practices for module imports. Are there any common pitfalls or improvements I should be aware of when using 'require' in Node.js? Any advice or resources would be greatly appreciated!",How to use switch branch button only seems to work for single repo in multi-root workspace,"I am used to looking at the source control checkout button in vscode as a quick indication of what branch the IDE thinks I'm working on.
This button is in lower left of the status panel as seen here:

When I have several folders open in a multi-root workspace, each with their own repo, this button only works for one of those repos - I can't figure out how to get it to show branch options for any of the other repos.
I've done all sorts of searches like ""vscode multi-root switch branch"", etc. Found nothing that addresses this.
Vscode documentation only address the use of this button in the context of single root repo.
I've also right clicked the branch in the scm view and selected ""make default"" - which didn't help.
How does vscode determine the repo in which to display the current branch?
How can I tell vscode which of the multi-root repos to use for display and actions?
",['https://code.visualstudio.com/assets/docs/editor/multi-root-workspaces/hero.png']
79078823,JSONDecodeError when using local tool in Node.js,"I'm trying to perform a simple arithmetic operation using a local tool in Node.js. The task is to add 3 and 4, then multiply the result by 2. However, I'm encountering a JSONDecodeError. The error message states: 'Invalid Tool Calls: python (call_dIYlTQhlfwAkyR3Y7UuIZIvP) are not valid JSON. Received JSONDecodeError Expecting value: line 1 column 1 (char 0)'. 

Here's the code snippet I'm using:

```javascript
const { add, multiply } = require('./local_tool');

const result = multiply({ a: add({ a: 3, b: 4 }), b: 2 });

console.log(result);
```

I suspect the issue might be related to how the function arguments are being handled. Any insights on how to resolve this JSONDecodeError would be greatly appreciated.",LangGraph Error - Invalid Tool Calls when using AzureChatOpenAI,"I'm following the LangGraph tutorial (from LangGraph) and I'm getting an error when switching from ""ChatOpenAI"" to ""AzureChatOpenAI"". This is the code example from the website:
from langchain_openai import AzureChatOpenAI
from dotenv import find_dotenv, load_dotenv
import os

from langgraph.graph import MessagesState
from langchain_core.messages import HumanMessage, SystemMessage

from langgraph.graph import START, StateGraph
from langgraph.prebuilt import tools_condition
from langgraph.prebuilt import ToolNode
from IPython.display import Image, display

load_dotenv(find_dotenv(), override=True)
  

This is the only change I've done, I've modified how to initialize the LLM (I am using AzureChatOpen AI) instead of ChatOpenAI 4o model.
llm = AzureChatOpenAI(
                openai_api_version=os.getenv(""OPENAI_API_VERSION""),
                azure_deployment=os.getenv(""DEPLOYMENT_NAME""),
                azure_endpoint=os.getenv(""AZURE_OPENAI_ENDPOINT""), 
                temperature=0,
            )

Then the remain code:
def multiply(a: int, b: int) -> int:
    """"""Multiply a and b.

    Args:
        a: first int
        b: second int
    """"""
    return a * b

def add(a: int, b: int) -> int:
    """"""Adds a and b.

    Args:
        a: first int
        b: second int
    """"""
    return a + b
      

tools = [add, multiply]

llm_with_tools = llm.bind_tools(tools)


sys_msg = SystemMessage(content=""You are a helpful assistant tasked with performing arithmetic on a set of inputs."")

def assistant(state: MessagesState):
   return {""messages"": [llm_with_tools.invoke([sys_msg] + state[""messages""])]}

# Graph
builder = StateGraph(MessagesState)

builder.add_node(""assistant"", assistant)
builder.add_node(""tools"", ToolNode(tools))

builder.add_edge(START, ""assistant"")
builder.add_conditional_edges(
    ""assistant"",
    tools_condition,
)
builder.add_edge(""tools"", ""assistant"")
react_graph = builder.compile()

And this is the call (how to reproduce the error):
messages = [HumanMessage(content=""Add 3 and 4. Multiply the output by 2. Using the local tool"")]

messages = react_graph.invoke({""messages"": messages})

print the result:
for m in messages['messages']:
    m.pretty_print()

And this is the error I get:

",['https://i.sstatic.net/lGCQGu49.png']
79120816,Nullable DateTime Property in C# Model Class,"I am working on a C# project and have a model class `QualificationModel` with several properties. I want to make the `Started` property nullable, as not all qualifications have a start date. I used `DateTime?` for this purpose. However, I'm unsure if this is the best practice or if there are any potential issues I should be aware of when using nullable types in model classes. Could someone provide guidance on using nullable types in C# and any best practices to follow?",Why Is Intellesense & Colour Formatting Not Working In Some Files In VS,"Intellisense and text colour formatting is not working in some files in my VS solution (VS 2022):

Everything is working in others, but not in the classes within the models folder.
Also when I try and reference these classes in other classes, they cannot be found by the compiler.
Why would this be happening?
",['https://i.sstatic.net/9SW9hTKN.png']
79041900,Handling 429 Too Many Requests Error Despite 200 OK Status,"I'm encountering an issue where my HTTP request returns a 200 OK status, but the response body indicates a 429 Too Many Requests error. The JSON response includes a 'StatusCode' of 429 and a 'ReasonPhrase' of 'Too Many Requests', even though the header shows 200 OK. 

Here is the JSON response:

```json
{
  'Version': '1.1',
  'Content': {
    'Headers': []
  },
  'StatusCode': 429,
  'ReasonPhrase': 'Too Many Requests',
  'Headers': [],
  'TrailingHeaders': null,
  'RequestMessage': null,
  'IsSuccessStatusCode': false
}
```

Why am I receiving a 200 OK status in the header while the body indicates a 429 error? How can I resolve this discrepancy to handle the rate limiting properly?",Http 429 is not returnable in status code from C# ASP.NET Core Web API,"[Route(""{route}"")]
[HttpPost]
public async Task<System.Net.Http.HttpResponseMessage> Post([FromBody] dynamic data)
{
    var test = new HttpResponseMessage(HttpStatusCode.TooManyRequests);
    return test;
}

Implementing an ASP.NET Core Web API controller. The intention is to return HTTP 429.
However, the 429 is returned in the response body but the actual response is HTTP 200
Example response from Postman below
{
    ""Version"": ""1.1"",
    ""Content"": {
        ""Headers"": []
    },
    ""StatusCode"": 429,
    ""ReasonPhrase"": ""Too Many Requests"",
    ""Headers"": [],
    ""TrailingHeaders"": [],
    ""RequestMessage"": null,
    ""IsSuccessStatusCode"": false
}


Any ideas how to fix this please?
I want the response in Postman to have a HTTP 429 status code.
Ideally, my expectation is that both response body and response header should be containing HTTP 429 (here, the response payload status is 429 but the response header contains 200)
",['https://i.sstatic.net/jtsyQ5SF.png']
79081114,PHP Error: Undefined Variable in Form Field,"I'm encountering an 'undefined variable' error in my PHP code when trying to render a password input field using a form model. The error occurs at the line where I call `$form->field($model, 'password')->passwordInput(['autofocus' => true])`. It seems like the `$model` variable is not being recognized. I've ensured that the form and model are properly initialized elsewhere in the code. Could someone help me identify what might be causing this issue?",PhpStorm is marking variables given by Controller in View as not declared in MCV application,"PhpStorm is marking variables given by Controller in View as not declared in Yii2 application. Why? How can I turn off this faulty message of PhpStorm?
return $this->render('resetPassword', [
    'model' => $model
]);


As you can see in upper screenshot, $model will be marked as not declared. That's nonsense in MCV design pattern application...
",['https://i.sstatic.net/AFTN318J.png']
79131385,PostgreSQL Connection Error: fe_sendauth: no password supplied,"I'm trying to connect to my PostgreSQL database using pgAdmin, but I'm encountering an error message: 'connection failed: connection to server at ""172.18.0.2"", port 5432 failed: fe_sendauth: no password supplied'. I've ensured that the server is running and the connection details are correct. However, I'm not sure how to resolve the password issue. Any guidance on how to fix this error would be greatly appreciated.",docker-compose: Getting fe_sendauth: no password supplied in pgadmin:8.12,"I have been trying to create a passwordless set-up for pgadmin with a postgres DB instance via docker-compose.
services:
  db:
    hostname: dbserv
    container_name: dbserv
    image: postgres:12-alpine
    restart: always
    environment:
      POSTGRES_USER: root
      POSTGRES_PASSWORD: root
    ports:
      - ""5432:5432""
    networks:
      - dbnet
    volumes:
      - db-data:/var/lib/postgresql/data
    extra_hosts:
      - ""host.docker.internal:host-gateway""
    healthcheck:
      test: [ ""CMD-SHELL"", ""pg_isready"" ]
      interval: 10s
      timeout: 30s
      retries: 5
      
  pgadmin:
    container_name: pgadmin
    image: dpage/pgadmin4:${PGADMIN_VERSION-8.12}
    restart: always
    environment:
      PGADMIN_DEFAULT_EMAIL: ${PGADMIN_EMAIL-admin@admin.com}
      PGADMIN_DEFAULT_PASSWORD: ${PGADMIN_PASSWORD-root}
    ports:
      - ""5050:80""
    networks:
      - dbnet
    volumes:
      - pgadmin-data:/var/lib/pgadmin
      - ./servers.json:/pgadmin4/servers.json # preconfigured servers/connections
      - ./pgpass:/tmp/pgpass # passwords for the connections in this file
    extra_hosts:
      - ""host.docker.internal:host-gateway""
    depends_on:
      db:
        condition: service_healthy    
    entrypoint: >
      /bin/sh -c ""
      mkdir -p /var/lib/pgadmin/storage/$${PGADMIN_DEFAULT_EMAIL_STORAGE};
      cp /tmp/pgpass /var/lib/pgadmin/storage/$${PGADMIN_DEFAULT_EMAIL_STORAGE}/pgpass;
      chmod 660 /var/lib/pgadmin/storage/$${PGADMIN_DEFAULT_EMAIL_STORAGE}/pgpass;
      chown pgadmin:root /tmp/pgpass;
      chown pgadmin:root /var/lib/pgadmin/storage/$${PGADMIN_DEFAULT_EMAIL_STORAGE}/pgpass;
      /entrypoint.sh
      ""
networks:
  dbnet:
    driver: bridge

volumes:
  db-data:
  pgadmin-data:

The servers.json is below:
{
    ""Servers"": {
        ""1"": {
            ""Name"": ""TestDB"",
            ""Group"": ""TestServers"",
            ""Host"": ""dbserv"",
            ""Port"": 5432,
            ""MaintenanceDB"": ""root"",
            ""Username"": ""root"",
            ""ConnectionParameters"": {
                ""sslmode"": ""prefer"",
                ""passfile"": ""./pgpass""
            }
        }
    }
}

And here is the pgpass:
dbserv:5432:root:root:root
dbserv:5432:postgres:root:root

I still keep getting the fe_sendauth: no password supplied error message when I try to connect with the TestDB within the TestServer.

Here is the first bit of the log from the pgadmin container.
chown: /tmp/pgpass: Operation not permitted
email config is {'CHECK_EMAIL_DELIVERABILITY': False, 'ALLOW_SPECIAL_EMAIL_DOMAINS': []}
NOTE: Configuring authentication for SERVER mode.
pgAdmin 4 - Application Initialisation
======================================
----------
Loading servers with:
User: admin@admin.com
SQLite pgAdmin config: /var/lib/pgadmin/pgadmin4.db
----------
Added 1 Server Group(s) and 1 Server(s).
postfix/postlog: starting the Postfix mail system
[2024-10-27 19:38:33 +0000] [1] [INFO] Starting gunicorn 22.0.0
[2024-10-27 19:38:33 +0000] [1] [INFO] Listening at: http://[::]:80 (1)
[2024-10-27 19:38:33 +0000] [1] [INFO] Using worker: gthread
[2024-10-27 19:38:33 +0000] [126] [INFO] Booting worker with pid: 126
::ffff:172.18.0.1 - - [27/Oct/2024:19:40:26 +0000] ""GET /browser/ HTTP/1.1"" 302 229 ""http://localhost:5050/login?next=/browser/"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36""
...
::ffff:172.18.0.1 - - [27/Oct/2024:19:41:41 +0000] ""GET /browser/server_group/nodes/ HTTP/1.1"" 200 428 ""http://localhost:5050/browser/"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36""
2024-10-27 19:41:41,987: ERROR  pgadmin:    Could not connect to server(#1) - 'TestDB'.
Error: connection failed: connection to server at ""172.18.0.2"", port 5432 failed: fe_sendauth: no password supplied
::ffff:172.18.0.1 - - [27/Oct/2024:19:41:41 +0000] ""POST /browser/server/connect/2/1 HTTP/1.1"" 401 289 ""http://localhost:5050/browser/"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36""
...

Trying to connect with psql with or without setting the PGPASSWORD works either way for both DBs:
docker exec -it dbserv psql -U root -d postgres
docker exec -it dbserv psql -U root -d root
PGPASSWORD=root docker exec -it dbserv psql -U root -d root
PGPASSWORD=root docker exec -it dbserv psql -U root -d postgres

I have scoured the web, but haven't found any solution that works for me.
",['https://i.sstatic.net/EBIgqZPa.png']
79123619,Error with Angular Module Export in Common.mjs,"I'm encountering an error in my Angular project related to module exports. The error message is: `Error: export ...`. It appears in the `common.mjs` file located in the `@angular/common/fesm2020` directory. 

I've checked the module structure and imports, but I'm not sure why this error is occurring. Could this be related to a version mismatch or a configuration issue? Any insights or solutions would be greatly appreciated.",Angular 14 to Angular 17 Migration,"Recently, I upgraded my Angular version 14 to 17. After upgrading to 17, I am getting some problems like after installing the npm module getting the error with node_modules which is not expected. Please see the screenshot and my packaje.json below. If anyone has any suggestions, please feel free to put them in the comments.
Here is my package.json
""dependencies"": {
    ""@angular/animations"": ""~17.3.12"",
    ""@angular/cdk"": ""^16.2.14"",
    ""@angular/common"": ""~17.3.12"",
    ""@angular/compiler"": ""~17.3.12"",
    ""@angular/core"": ""~17.3.12"",
    ""@angular/forms"": ""~17.3.12"",
    ""@angular/localize"": ""~17.3.12"",
    ""@angular/platform-browser"": ""~17.3.12"",
    ""@angular/platform-browser-dynamic"": ""~17.3.12"",
    ""@angular/router"": ""~17.3.12"",
    ""@angular/service-worker"": ""~17.3.12"",
    ""@bartholomej/ngx-translate-extract"": ""^8.0.2"",
    ""@faker-js/faker"": ""^8.2.0"",
    ""@fortawesome/fontawesome-free"": ""^6.1.2"",
    ""@gloriousky/tailwindcss-localization"": ""^1.1.0"",
    ""@milkdown/core"": ""^7.3.0"",
    ""@milkdown/ctx"": ""^7.3.0"",
    ""@milkdown/plugin-history"": ""^7.3.0"",
    ""@milkdown/plugin-listener"": ""^7.3.0"",
    ""@milkdown/preset-commonmark"": ""^7.3.0"",
    ""@milkdown/prose"": ""^7.3.0"",
    ""@milkdown/theme-nord"": ""^7.3.0"",
    ""@milkdown/transformer"": ""^7.3.0"",
    ""@ngrx/effects"": ""^17.2.0"",
    ""@ngrx/entity"": ""^17.2.0"",
    ""@ngrx/router-store"": ""^17.2.0"",
    ""@ngrx/store"": ""^17.2.0"",
    ""@ngrx/store-devtools"": ""^17.2.0"",
    ""@ngx-formly/bootstrap"": ""^6.1.8"",
    ""@ngx-formly/core"": ""^6.1.8"",
    ""@ngx-translate/core"": ""^14.0.0"",
    ""@popperjs/core"": ""^2.11.0"",
    ""@types/video.js"": ""^7.3.53"",
    ""@uppy/angular"": ""^0.5.2"",
    ""@uppy/aws-s3"": ""^3.2.3"",
    ""@uppy/aws-s3-multipart"": ""^3.5.4"",
    ""@uppy/golden-retriever"": ""^3.1.0"",
    ""@uppy/image-editor"": ""^2.1.2"",
    ""@uppy/remote-sources"": ""^1.0.3"",
    ""angular-svg-icon"": ""^14.0.0"",
    ""animate.css"": ""^4.1.1"",
    ""chartjs-plugin-annotation"": ""^3.0.1"",
    ""chartjs-plugin-datalabels"": ""^2.2.0"",
    ""flowbite"": ""^2.5.1"",
    ""flowbite-datepicker"": ""^1.3.0"",
    ""i"": ""^0.3.7"",
    ""js-sha256"": ""^0.11.0"",
    ""lodash"": ""^4.17.20"",
    ""moment"": ""^2.29.4"",
    ""ng-circle-progress"": ""^1.7.1"",
    ""ng2-charts"": ""^4.1.1"",
    ""ngx-cookie-service"": ""^16.1.0"",
    ""ngx-markdown"": ""^17.2.1"",
    ""npm"": ""^9.8.1"",
    ""reconnecting-websocket"": ""^4.4.0"",
    ""remark-directive"": ""^3.0.0"",
    ""rxjs"": ""^7.5.0"",
    ""swiper"": ""^8.4.6"",
    ""tslib"": ""^2.3.0"",
    ""uuid"": ""^9.0.0"",
    ""video.js"": ""^8.5.2"",
    ""zone.js"": ""~0.14.10""
  },
  ""devDependencies"": {
    ""@angular-devkit/build-angular"": ""~17.3.9"",
    ""@angular-eslint/builder"": ""~17.5.3"",
    ""@angular-eslint/eslint-plugin"": ""~17.5.3"",
    ""@angular-eslint/eslint-plugin-template"": ""~17.5.3"",
    ""@angular-eslint/schematics"": ""~17.5.3"",
    ""@angular-eslint/template-parser"": ""~17.5.3"",
    ""@angular/cli"": ""~17.3.9"",
    ""@angular/compiler-cli"": ""~17.3.12"",
    ""@angular/language-service"": ""~17.3.12"",
    ""@biesbjerg/ngx-translate-extract"": ""^7.0.3"",
    ""@biesbjerg/ngx-translate-extract-marker"": ""^1.0.0"",
    .....

    enter code here
    ""typescript"": ""~5.4.5""
  },
  ""prettier"": {
    ""tabWidth"": 2,
    ""singleQuote"": true,
    ""overrides"": [
      {
        ""files"": ""*.scss"",
        ""options"": {
          ""singleQuote"": false
        }
      }
    ]
  }

I removed all cache and re-installed the dependency a lot of times but still can see this mismatch. Can not understand the issues.

",['https://i.sstatic.net/k5weewb8.png']
79144476,SyntaxError: Unexpected token 'export' in Jest with ECMAScript Modules,"I'm encountering a `SyntaxError: Unexpected token 'export'` while running tests with Jest. The error points to an import statement in my code:

```javascript
import ExcelJS from 'exceljs';
```

The error message suggests that the issue is related to ECMAScript Modules:

```
/Users/dariuszfranczak/Gits/Voly/ui-system-config/node_modules/exceljs/node_modules/uuid/dist/esm-browser/index.js:1
export { default as v1 } from './v1.js';
^^^^^^

SyntaxError: Unexpected token 'export'
```

I've read that Jest requires some configuration to handle ECMAScript Modules. I've checked the Jest documentation, but I'm still unsure how to resolve this. How can I configure Jest to properly handle ECMAScript Modules in this context?",ExcelJS crashes unit tests in JEST,"As you can see from the screenshot my unit test is crashing after I implemented exceljs.
Any idea how to fix it?
I have tried with
import * as ExcelJS from 'exceljs';

but it didn't help.
Also, tried with
 moduleNameMapper: {
   ""ExcelJS"": require.resolve('ExcelJS'),
   ""uuid"": require.resolve('uuid'), 
}

in jest.config.js, but it's still crashing

The suggested solution to modify the transformIgnorePatterns array in jest.config.js is not working because there is already line of modules and adding another line (array element) causes the conflict.
",['https://i.sstatic.net/FFZhjMVo.png']
79132115,Issue with @RunWith Annotation in Android JUnit4 Test,"I'm working on an Android project and trying to run unit tests using JUnit4. I've annotated my test class with @RunWith(AndroidJUnit4::class), but I'm encountering issues. The build output shows that the test ran, but I'm not seeing the expected results in the Run tool window. 

Here's a snippet of my test class:

```kotlin
@RunWith(AndroidJUnit4::class)
class TasksViewModelTest {
    // Subject under test
    private lateinit var tasksViewModel: TasksViewModel
    // ...
}
```

I've checked my build.gradle file and ensured that all necessary dependencies are included. What could be causing this issue, and how can I resolve it to properly view my test results?",Run Roboelectric in Unit Testing and Most Efficient way to perform instrument test at physical device,"I'm doing some old codelab on testing here, But in the codelab it uses Roboelectric in UnitTest folder, but when I run that it stuck on this part

Here's the code.
@RunWith(AndroidJUnit4::class)
class TasksViewModelTest {

    // Subject under test
    private lateinit var tasksViewModel: TasksViewModel

    // Executes each task synchronously using Architecture Components.
    @get:Rule
    var instantExecutorRule = InstantTaskExecutorRule()

    @Before
    fun setupViewModel() {
        tasksViewModel = TasksViewModel(ApplicationProvider.getApplicationContext())
    }


    @Test
    fun addNewTask_setsNewTaskEvent() {

        // When adding a new task
        tasksViewModel.addNewTask()

        // Then the new task event is triggered
        val value = tasksViewModel.newTaskEvent.getOrAwaitValue()
        assertThat(
            value.getContentIfNotHandled(), (not(nullValue()))
        )
    }

    @Test
    fun getTasksAddViewVisible() {

        // When the filter type is ALL_TASKS
        tasksViewModel.setFiltering(TasksFilterType.ALL_TASKS)

        // Then the ""Add task"" action is visible
        assertThat(tasksViewModel.tasksAddViewVisible.getOrAwaitValue(), `is`(true))
    }

}

Well I know that the purpose of the UnitTest is to run the test faster, I on the later codelab it stated that it's faster to mock / fake the repository and pass it to the viewModel rather than using context and instantiate the viewModel (which remove the AndroidJUnit4 test runner) and remove the roboelectric test that takes ages to run.

My question is that so does the Roboelectric fall into the Instrumented test (which belong to the AndroidTest folder) or the unitTest, because it seems I can't run the test because it hang indefinately.

Also my other question, is how to setup your physical device for instrument and end to end testing efficiently. In many cases, you need to install the app, activate the Display pop up windows while running background for each app and run the testing. Does there any alternative way of doing the instrument / end to end testing in the physical device?


Thanks for reading this. And It will probably my reminder to doing testing in the future
I look up at some SO question about running test on physical device, but none of that are satisfy my question.
",['https://i.sstatic.net/EXxgbgZP.png']
79047610,How to Properly Use Avatar Component with TypeScript in React?,"I'm trying to use an Avatar component in my React project with TypeScript, but I'm encountering some issues with the props. The component is used as follows:

```jsx
<Avatar as=""button"" onClick={() => console.log(1)} src={src} />
```

The IDE suggests several props like `key`, `className`, `color`, `theme`, `alt`, `i18nIsDynamicList`, and `size`, but I'm not sure how to properly define and use them. Could someone explain the correct usage of these props and how to ensure type safety with TypeScript? Any examples or documentation references would be greatly appreciated.",React. Autocomplete typing does not work when using ComponentPropsWithoutRef,"I use this structure to be able to use the Avatar as any ElementType
interface AvatarOwnProps {
    className?: string
    src?: string
    alt?: string
    color?: AvatarColor
    theme?: AvatarTheme
    size?: AvatarSize
}

type AvatarProps<T extends ElementType = 'div'> = {
    as?: T
} & ComponentPropsWithoutRef<T> & AvatarOwnProps

export const Avatar = memo(<T extends ElementType = 'div'>(props: AvatarProps<T>) => {
    ...

    return (
        <Component className={classNames(cls.Avatar, {}, additional)} {...other}>
            <img src={initialSrc} alt={alt} />
        </Component>
    )
}


And when I try to use autocomplete, only my types (AvatarOwnProps) are displayed, but if I manually write for example onClick, TypeScript doesn't complain and everything works as it should.
It's not critical as I can still put in the attribute I want on my own, but could this be a problem in my code? I am using WebStorm to write the code

",['https://i.sstatic.net/wsOQD2Y8.png']
