Unnamed: 0,Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,CodeText,ImageURLs
6,79146548,1,,,2024-10-31 22:57:37,,0,23,"As the title explains, I can start an inline chat session using the 'hey code' voice command in VS Code, but it doesn't pick up what I say afterward.
Dictation (CTRL+ALT+V) doesn't work either.
The mic icon is grayed out, indicating that is activated, but nothing happens when I talk. This used to work just fine.

I have checked the logs and no errors are being reported.
Any ideas what may be going on?
",518872.0,,,,,2024-10-31 22:57:37,GitHub Copilot responds to 'Hey Code' but dictation doesn't work,<visual-studio-code><github-copilot>,0,0,,,,CC BY-SA 4.0,CTRL+ALT+V,['https://i.sstatic.net/MgGjdapB.png']
9,79146419,1,,,2024-10-31 21:41:14,,0,33,"I am trying to use Github Actions with Azure Static Web App to deploy a web app. I am using node version 20.18.0 and .NET 8 in my React app, and used the default vite configurations that came when I created the project in Visual Studio with some changes for my project.
The project keeps failing -- here are the current workflow file configurations:
jobs:
  build_and_deploy_job:
    if: github.event_name == 'push' || (github.event_name == 'pull_request' && github.event.action != 'closed')
    runs-on: ubuntu-latest
    name: Build and Deploy Job
    steps:
      - uses: actions/checkout@v3
        with:
          submodules: true
          lfs: false
      - name: Setup .NET Core
        uses: actions/setup-dotnet@v4
        with:
          dotnet-version: 8.0.402
      - name: Setup Node
        uses: actions/setup-node@v4
        with:
          node-version: 20.18.0
      - name: Build And Deploy
        id: builddeploy
        uses: Azure/static-web-apps-deploy@v1
        with:
          azure_static_web_apps_api_token: ${{ secrets.AZURE_STATIC_WEB_APPS_API_TOKEN_GREEN_MUSHROOM_0A9558C1E }}
          repo_token: ${{ secrets.GITHUB_TOKEN }} # Used for Github integrations (i.e. PR comments)
          action: ""upload""
          ###### Repository/Build Configurations - These values can be configured to match your app requirements. ######
          # For more information regarding Static Web App workflow configurations, please visit: https://aka.ms/swaworkflowconfig
          app_location: ""./mksite.client"" # App source code path
          api_location: ""./mksite.Server"" # Api source code path - optional
          output_location: ""dist"" # Built app content directory - optional
          ###### End of Repository/Build Configurations ######

This is the vite.config.ts file:
const target = env.ASPNETCORE_HTTPS_PORT ? `https://localhost:${env.ASPNETCORE_HTTPS_PORT}` :
    env.ASPNETCORE_URLS ? env.ASPNETCORE_URLS.split(';')[0] : 'https://localhost:7012';

export default defineConfig({
    build: {
        watch: null
    },
    plugins: [plugin(), basicSsl()],
    resolve: {
        alias: {
            '@': fileURLToPath(new URL('./src', import.meta.url))
        }
    },
    server: {
        proxy: {
            '^/experience':{
                target,
                secure: false
            },
            '^/about':{
                target,
                secure: false
            }
        },
        port: 5173
    }
})

The .esproj file:
<Project Sdk=""Microsoft.VisualStudio.JavaScript.Sdk/1.0.1184077"">
  <PropertyGroup>
    <StartupCommand>npm run dev</StartupCommand>
    <JavaScriptTestRoot>src\</JavaScriptTestRoot>
    <JavaScriptTestFramework>Jest</JavaScriptTestFramework>
    <!-- Allows the build (or compile) script located on package.json to run on Build -->
    <ShouldRunBuildScript>false</ShouldRunBuildScript>
    <!-- Folder where production build objects will be placed -->
    <BuildOutputFolder>$(MSBuildProjectDirectory)\dist</BuildOutputFolder>
  </PropertyGroup>
</Project>

And finally the error, which occurs once dotnet is installed and the app is run from the server:

It says it can't find the npm run build command, which is not an issue I am seeing locally or when I run the app on a VM with Docker. I did see something similar when I had the wrong version of node installed when running the server but I don't know enough about Azure to troubleshoot.
Any suggestions?
",5957881.0,,11182.0,,2024-10-31 21:52:16,2024-11-01 00:38:15,How can I fix my Workflow file to successfully deploy my app?,<reactjs><github-actions><azure-static-web-app>,0,3,,,,CC BY-SA 4.0,"jobs:
  build_and_deploy_job:
    if: github.event_name == 'push' || (github.event_name == 'pull_request' && github.event.action != 'closed')
    runs-on: ubuntu-latest
    name: Build and Deploy Job
    steps:
      - uses: actions/checkout@v3
        with:
          submodules: true
          lfs: false
      - name: Setup .NET Core
        uses: actions/setup-dotnet@v4
        with:
          dotnet-version: 8.0.402
      - name: Setup Node
        uses: actions/setup-node@v4
        with:
          node-version: 20.18.0
      - name: Build And Deploy
        id: builddeploy
        uses: Azure/static-web-apps-deploy@v1
        with:
          azure_static_web_apps_api_token: ${{ secrets.AZURE_STATIC_WEB_APPS_API_TOKEN_GREEN_MUSHROOM_0A9558C1E }}
          repo_token: ${{ secrets.GITHUB_TOKEN }} # Used for Github integrations (i.e. PR comments)
          action: ""upload""
          ###### Repository/Build Configurations - These values can be configured to match your app requirements. ######
          # For more information regarding Static Web App workflow configurations, please visit: https://aka.ms/swaworkflowconfig
          app_location: ""./mksite.client"" # App source code path
          api_location: ""./mksite.Server"" # Api source code path - optional
          output_location: ""dist"" # Built app content directory - optional
          ###### End of Repository/Build Configurations ######

const target = env.ASPNETCORE_HTTPS_PORT ? `https://localhost:${env.ASPNETCORE_HTTPS_PORT}` :
    env.ASPNETCORE_URLS ? env.ASPNETCORE_URLS.split(';')[0] : 'https://localhost:7012';

export default defineConfig({
    build: {
        watch: null
    },
    plugins: [plugin(), basicSsl()],
    resolve: {
        alias: {
            '@': fileURLToPath(new URL('./src', import.meta.url))
        }
    },
    server: {
        proxy: {
            '^/experience':{
                target,
                secure: false
            },
            '^/about':{
                target,
                secure: false
            }
        },
        port: 5173
    }
})

<Project Sdk=""Microsoft.VisualStudio.JavaScript.Sdk/1.0.1184077"">
  <PropertyGroup>
    <StartupCommand>npm run dev</StartupCommand>
    <JavaScriptTestRoot>src\</JavaScriptTestRoot>
    <JavaScriptTestFramework>Jest</JavaScriptTestFramework>
    <!-- Allows the build (or compile) script located on package.json to run on Build -->
    <ShouldRunBuildScript>false</ShouldRunBuildScript>
    <!-- Folder where production build objects will be placed -->
    <BuildOutputFolder>$(MSBuildProjectDirectory)\dist</BuildOutputFolder>
  </PropertyGroup>
</Project>
",['https://i.sstatic.net/THwNK2Jj.png']
11,79146412,1,,,2024-10-31 21:37:54,,1,31,"In LINQPad 5 with Linq-to-Sql DataContext, if I dump out a table.
Users.Take( 5 ).Dump();

The results pane has properties in order they were defined in the .dbml file, and thus in the order they were placed in the generated C# class.
In LINQPad 8 with EF Core DbContext objects, if I dump out the same table, the properties are always dumped in alphabetical order vs the order of property declaration in the scaffolded class.
Is there a way to make it dump based on order of declaration?
I saw post about Change order of dump properties which I could maybe implement, but would rather just get a default behavior of order properties appear in class.
Using reflection, if I do typeof( KAT.Camelot.DbContexts.Evolution.AWS.User ).GetProperties().Dump(); the order of the properties listed is in order of declaration.
Update: Screenshot of output and code.

Here is scaffolded class:
[Table(""User"")]
[Index(""AuthID"", ""GroupKey"", Name = ""UniqueAuthID"", IsUnique = true)]
[Index(""Email"", ""GroupKey"", Name = ""UniqueEmail"", IsUnique = true)]
public partial class User
{
    [Key]
    [Column(""User_id"")]
    public int Key { get; set; }

    
    /// <summary>
    /// Foreign Key to Group
    /// </summary>
    [Column(""User_Group_id"")]
    public int? GroupKey { get; set; }

    [Column(""User_Authenticate_id"")]
    [StringLength(100)]
    [Unicode(false)]
    public string? AuthID { get; set; }

    [Column(""User_Register_id"")]
    [StringLength(255)]
    [Unicode(false)]
    public string? RegisterID { get; set; }

    [Column(""User_Profile"", TypeName = ""text"")]
    public string? Profile { get; set; }

    [Column(""User_Email"")]
    [StringLength(200)]
    [Unicode(false)]
    public string? Email { get; set; }

    [Column(""User_Pin"")]
    [StringLength(100)]
    [Unicode(false)]
    public string? Pin { get; set; }

    [Column(""User_Timeout"", TypeName = ""datetime"")]
    public DateTime? Timeout { get; set; }

    [Column(""Create_Date"", TypeName = ""datetime"")]
    public DateTime? CreateDate { get; set; }

    [Column(""Mod_Date"", TypeName = ""datetime"")]
    public DateTime? UpdateDate { get; set; }

    
    /// <summary>
    /// Date user last logged onto the system.
    /// </summary>
    [Column(""User_LastOn"", TypeName = ""smalldatetime"")]
    public DateTime? LastOnDate { get; set; }

    
    /// <summary>
    /// Whether or not the user can log onto the system.
    /// </summary>
    [Column(""User_Active"")]
    public bool? Active { get; set; }

    [Column(""userPasswordExpire"", TypeName = ""smalldatetime"")]
    public DateTime? PasswordExpire { get; set; }

    [Column(""uFailureCount"")]
    public int? FailureCount { get; set; }

    [Column(""userAdmin"")]
    public bool? Admin { get; set; }

    
    /// <summary>
    /// The &apos;AuthID&apos; the admin will use to sign in with (if not same as real auth id - use when people are both participants and admins)
    /// </summary>
    [Column(""uAdminAuthID"")]
    [StringLength(255)]
    [Unicode(false)]
    public string? AdminAuthID { get; set; }

    [Column(""User_Token"")]
    [StringLength(50)]
    [Unicode(false)]
    public string? Token { get; set; }

    
    /// <summary>
    /// If this matches cookie in users browser then they can autologon.
    /// </summary>
    [Column(""User_AutoLogon"")]
    [StringLength(50)]
    [Unicode(false)]
    public string? AutoLogon { get; set; }

    [Column(""uStayLoggedIn"")]
    public bool? StayLoggedIn { get; set; }

    [Column(""uProcessed"")]
    public bool? Processed { get; set; }

    [Column(""uIVRPin"")]
    [StringLength(20)]
    [Unicode(false)]
    public string? IVRPin { get; set; }

    [Column(""uEmailReset"")]
    [StringLength(200)]
    [Unicode(false)]
    public string? EmailReset { get; set; }

    [Column(""uSingleSignOnID"")]
    [StringLength(100)]
    [Unicode(false)]
    public string? SingleSignOnID { get; set; }

    [Column(""uAuthenticatorKey"")]
    [StringLength(15)]
    [Unicode(false)]
    public string? AuthenticatorKey { get; set; }

    [Column(""uMobileNumber"")]
    [StringLength(15)]
    [Unicode(false)]
    public string? MobileNumber { get; set; }

    [Column(""uAuthenticatorGrace"")]
    public int? AuthenticatorGrace { get; set; }

    [ForeignKey(""GroupKey"")]
    [InverseProperty(""Users"")]
    public virtual Group? Group { get; set; }

    [InverseProperty(""User"")]
    public virtual ICollection<Preference> Preferences { get; set; } = new List<Preference>();
}

",166231.0,,166231.0,,2024-11-01 01:49:02,2024-11-01 01:49:02,LINQPad 8 Dump Property Order different that LINQPad 5,<c#><linqpad>,0,5,,,,CC BY-SA 4.0,"DataContext
Users.Take( 5 ).Dump();

.dbml
DbContext
typeof( KAT.Camelot.DbContexts.Evolution.AWS.User ).GetProperties().Dump();
[Table(""User"")]
[Index(""AuthID"", ""GroupKey"", Name = ""UniqueAuthID"", IsUnique = true)]
[Index(""Email"", ""GroupKey"", Name = ""UniqueEmail"", IsUnique = true)]
public partial class User
{
    [Key]
    [Column(""User_id"")]
    public int Key { get; set; }

    
    /// <summary>
    /// Foreign Key to Group
    /// </summary>
    [Column(""User_Group_id"")]
    public int? GroupKey { get; set; }

    [Column(""User_Authenticate_id"")]
    [StringLength(100)]
    [Unicode(false)]
    public string? AuthID { get; set; }

    [Column(""User_Register_id"")]
    [StringLength(255)]
    [Unicode(false)]
    public string? RegisterID { get; set; }

    [Column(""User_Profile"", TypeName = ""text"")]
    public string? Profile { get; set; }

    [Column(""User_Email"")]
    [StringLength(200)]
    [Unicode(false)]
    public string? Email { get; set; }

    [Column(""User_Pin"")]
    [StringLength(100)]
    [Unicode(false)]
    public string? Pin { get; set; }

    [Column(""User_Timeout"", TypeName = ""datetime"")]
    public DateTime? Timeout { get; set; }

    [Column(""Create_Date"", TypeName = ""datetime"")]
    public DateTime? CreateDate { get; set; }

    [Column(""Mod_Date"", TypeName = ""datetime"")]
    public DateTime? UpdateDate { get; set; }

    
    /// <summary>
    /// Date user last logged onto the system.
    /// </summary>
    [Column(""User_LastOn"", TypeName = ""smalldatetime"")]
    public DateTime? LastOnDate { get; set; }

    
    /// <summary>
    /// Whether or not the user can log onto the system.
    /// </summary>
    [Column(""User_Active"")]
    public bool? Active { get; set; }

    [Column(""userPasswordExpire"", TypeName = ""smalldatetime"")]
    public DateTime? PasswordExpire { get; set; }

    [Column(""uFailureCount"")]
    public int? FailureCount { get; set; }

    [Column(""userAdmin"")]
    public bool? Admin { get; set; }

    
    /// <summary>
    /// The &apos;AuthID&apos; the admin will use to sign in with (if not same as real auth id - use when people are both participants and admins)
    /// </summary>
    [Column(""uAdminAuthID"")]
    [StringLength(255)]
    [Unicode(false)]
    public string? AdminAuthID { get; set; }

    [Column(""User_Token"")]
    [StringLength(50)]
    [Unicode(false)]
    public string? Token { get; set; }

    
    /// <summary>
    /// If this matches cookie in users browser then they can autologon.
    /// </summary>
    [Column(""User_AutoLogon"")]
    [StringLength(50)]
    [Unicode(false)]
    public string? AutoLogon { get; set; }

    [Column(""uStayLoggedIn"")]
    public bool? StayLoggedIn { get; set; }

    [Column(""uProcessed"")]
    public bool? Processed { get; set; }

    [Column(""uIVRPin"")]
    [StringLength(20)]
    [Unicode(false)]
    public string? IVRPin { get; set; }

    [Column(""uEmailReset"")]
    [StringLength(200)]
    [Unicode(false)]
    public string? EmailReset { get; set; }

    [Column(""uSingleSignOnID"")]
    [StringLength(100)]
    [Unicode(false)]
    public string? SingleSignOnID { get; set; }

    [Column(""uAuthenticatorKey"")]
    [StringLength(15)]
    [Unicode(false)]
    public string? AuthenticatorKey { get; set; }

    [Column(""uMobileNumber"")]
    [StringLength(15)]
    [Unicode(false)]
    public string? MobileNumber { get; set; }

    [Column(""uAuthenticatorGrace"")]
    public int? AuthenticatorGrace { get; set; }

    [ForeignKey(""GroupKey"")]
    [InverseProperty(""Users"")]
    public virtual Group? Group { get; set; }

    [InverseProperty(""User"")]
    public virtual ICollection<Preference> Preferences { get; set; } = new List<Preference>();
}
",['https://i.sstatic.net/efq4SfvI.png']
24,79146127,1,,,2024-10-31 19:34:12,,1,29,"I'm using TypeScript, ESM, npm, and ts-jest. Unfortunately, it seems that transformIgnorePatterns isn't working.
I've tried multiple configurations, but nothing has helped me run Jest with ts-jest successfully. The only workaround that worked was replacing imports with require directly in node_modules, but that's not a viable final solution.
the error is:

My package.json has ""type"": ""module"". I'm using npm workspaces, my setup in the root is very similar to the one in my child package:
jest.config.ts
export default {
  preset: 'ts-jest/presets/default-esm',
  testEnvironment: 'node',
  testMatch: ['**/*.spec.ts'],
  transform: {
    '^.+\\.tsx?$': ['ts-jest']
  },
  transformIgnorePatterns: ['/node_modules/(?!log-symbols|picocolors)']
};

ts.config.json
{
    ""compilerOptions"": {
        ""target"": ""ES2022"",
        ""module"": ""ESNext"",
        ""moduleResolution"": ""node"",
        ""declaration"": true,
        ""strict"": true,
        ""incremental"": true,
        ""esModuleInterop"": true,
        ""skipLibCheck"": true,
        ""forceConsistentCasingInFileNames"": true,
        ""composite"": true,
        ""types"": [""node"", ""jest""],
        ""allowImportingTsExtensions"": true,
        ""allowJs"": true,
        ""noEmit"": true,
    },
    ""ts-node"": {
        ""esm"": true
    },
    ""exclude"": [""node_modules""]
}

I've tried various configurations with transformIgnorePatterns, target, and module values. The issue occurs not only with picocolors but also with chalk (versions 5 and 4).
",9572172.0,,9572172.0,,2024-10-31 20:20:36,2024-10-31 20:20:36,SyntaxError: Cannot use import statement outside a module ts-jest,<typescript><jestjs><es6-modules><ts-jest>,0,0,,,,CC BY-SA 4.0,"export default {
  preset: 'ts-jest/presets/default-esm',
  testEnvironment: 'node',
  testMatch: ['**/*.spec.ts'],
  transform: {
    '^.+\\.tsx?$': ['ts-jest']
  },
  transformIgnorePatterns: ['/node_modules/(?!log-symbols|picocolors)']
};

ts.config.json
{
    ""compilerOptions"": {
        ""target"": ""ES2022"",
        ""module"": ""ESNext"",
        ""moduleResolution"": ""node"",
        ""declaration"": true,
        ""strict"": true,
        ""incremental"": true,
        ""esModuleInterop"": true,
        ""skipLibCheck"": true,
        ""forceConsistentCasingInFileNames"": true,
        ""composite"": true,
        ""types"": [""node"", ""jest""],
        ""allowImportingTsExtensions"": true,
        ""allowJs"": true,
        ""noEmit"": true,
    },
    ""ts-node"": {
        ""esm"": true
    },
    ""exclude"": [""node_modules""]
}
",['https://i.sstatic.net/Jp5wj6k2.png']
36,79145758,1,79145983.0,,2024-10-31 17:26:40,,-1,15,"I have written a strongly-typed Polymorphic Typescript React component that can accept any valid HTML tag.  I followed this example here: https://www.tsteele.dev/posts/react-polymorphic-forwardref.
// polymorphic component with forwarded ref thanks to
// https://www.tsteele.dev/posts/react-polymorphic-forwardref
// https://gist.github.com/kripod/4434e7cecfdecee160026aee49ea6ee8

import React, {
  forwardRef,
  useCallback,
  type ComponentPropsWithRef,
  type ElementType,
  type JSX,
  type JSXElementConstructor,
  type Ref,
} from 'react';

type IntrinsicAttributes<
  E extends keyof JSX.IntrinsicElements | JSXElementConstructor<any>,
> = JSX.LibraryManagedAttributes<E, ComponentPropsWithRef<E>>;

export interface BoxOwnProps<E extends ElementType = ElementType> {
  as?: E;
}

export type BoxProps<E extends ElementType> = BoxOwnProps<E> &
  Omit<IntrinsicAttributes<E>, keyof BoxOwnProps>;

export const Box = forwardRef(function Box(
  { as: Element = 'div', ...restProps }: BoxOwnProps,
  ref: Ref<Element>
) {
  const handleOnClick = useCallback((ev: HTMLElement) => {
    // 🚨 🚨  The type error is on the next line (see image)
    console.log(ev.currentTarget);
  }, []);

  return <Element ref={ref} onClick={handleOnClick} {...restProps} />;
}) as <E extends ElementType = 'div'>(props: BoxProps<E>) => JSX.Element;

For the handleOnClick callback, I assigned the event in the callback the HTMLElement type from @types/react-dom because it is the parent of all possible HTML dom elements and was generic enough to satisfy TypeScript.
But, I now specifically need access to the event.currentTarget property.

The only way I know of to make TypeScript aware of the currentTarget property is to change HTMLElement to a more specific type, like HTMLButtonElement. But that breaks polymorphism because the developer could pick a tag like ""a"" which means I would need to change the callback event type to HTMLAnchorElement
Is there a generic React Typescript type for HTMLElement that accepts a tag string?  Like HTMLElement<'button'>. I'm just not aware of a generic type that can allow me to set the event conditionally based on an HTML tag name.
",331503.0,,,,,2024-10-31 18:45:44,Typescript Polymorphic Component Event Handler,<reactjs><typescript>,1,1,,,,CC BY-SA 4.0,"// polymorphic component with forwarded ref thanks to
// https://www.tsteele.dev/posts/react-polymorphic-forwardref
// https://gist.github.com/kripod/4434e7cecfdecee160026aee49ea6ee8

import React, {
  forwardRef,
  useCallback,
  type ComponentPropsWithRef,
  type ElementType,
  type JSX,
  type JSXElementConstructor,
  type Ref,
} from 'react';

type IntrinsicAttributes<
  E extends keyof JSX.IntrinsicElements | JSXElementConstructor<any>,
> = JSX.LibraryManagedAttributes<E, ComponentPropsWithRef<E>>;

export interface BoxOwnProps<E extends ElementType = ElementType> {
  as?: E;
}

export type BoxProps<E extends ElementType> = BoxOwnProps<E> &
  Omit<IntrinsicAttributes<E>, keyof BoxOwnProps>;

export const Box = forwardRef(function Box(
  { as: Element = 'div', ...restProps }: BoxOwnProps,
  ref: Ref<Element>
) {
  const handleOnClick = useCallback((ev: HTMLElement) => {
    // 🚨 🚨  The type error is on the next line (see image)
    console.log(ev.currentTarget);
  }, []);

  return <Element ref={ref} onClick={handleOnClick} {...restProps} />;
}) as <E extends ElementType = 'div'>(props: BoxProps<E>) => JSX.Element;

HTMLElement
@types/react-dom
event.currentTarget
HTMLElement
HTMLButtonElement
HTMLAnchorElement
HTMLElement<'button'>",['https://i.sstatic.net/19LCKEF3.png']
63,79145106,1,,,2024-10-31 14:20:57,,0,20,"In PhpStorm having the default Dark Theme, modified files are shown with a light blue color in the tabs' row.
I am customizing the color scheme via
Setting > Editor > Color Scheme > General
so that I can get more contrast, e.g.: have a strong highlight on the Selected Tab.
While I can change the background color of the Selected Tab, and have once the file is modified, the blue text color is used.
I assume the blue color stems from something indicating: Changed / Modified files.
Yet I cannot find where it comes from.

",457268.0,,,,,2024-10-31 16:38:56,Where to change the text color for tabs having modified files in PhpStorm?,<phpstorm><config><jetbrains-ide><color-scheme>,1,7,,,,CC BY-SA 4.0,,['https://i.sstatic.net/82bgJS6T.png']
68,79144988,1,,,2024-10-31 13:47:20,,0,15,"I am having trouble with using a google font on mjml.io even though I followed the instructions.
I tried some fonts, only for test purposes, but only the second one works.
But the font I actually need to use is ""Source Sans 3"".
Seems like it only accepts fonts with a single word name?
The font I need to make work:

https://fonts.googleapis.com/css?family=Source+Sans+3

The fonts I used for testing:

https://fonts.googleapis.com/css?family=Itim
https://fonts.googleapis.com/css?family=Itim&family=Karla+Tamil+Upright


",6540652.0,,6540652.0,,2024-10-31 13:57:31,2024-10-31 19:11:08,Font-family from google fonts doesn't work in MJML,<fonts><mjml>,1,0,,,,CC BY-SA 4.0,,['https://i.sstatic.net/EDq0aasZ.png']
92,79144491,1,,,2024-10-31 11:14:55,,-3,34,"I'm using Visual Studio Code to write Node.js code, and the IntelliSense suggestions for Node’s core modules are extremely verbose.
For example, when I write:
const http = require('http');

http.createServer();

and hover over createServer(), I get the following IntelliSense output:
function createServer<typeof http.IncomingMessage, typeof http.ServerResponse>(requestListener?: http.RequestListener<typeof http.IncomingMessage, typeof http.ServerResponse>): http.Server<typeof http.IncomingMessage, typeof http.ServerResponse> (+1 overload)


This verbose suggestion makes it difficult to read the method’s basic structure.
I would like IntelliSense to show a simplified version, such as:
function createServer(requestListener?: (request: IncomingMessage, response: ServerResponse) => void): Server

I've already tried configuring ""typescript.inlayHints"" settings and adding a jsconfig.json file to simplify IntelliSense, but it hasn't had the desired effect.
Question: Is there a way to adjust VS Code settings or install specific plugins to reduce IntelliSense verbosity for Node.js functions, specifically to show only essential information?
",17410605.0,,17410605.0,,2024-11-01 09:41:57,2024-11-01 09:41:57,How to Reduce Verbosity of IntelliSense for Node.js in VS Code?,<javascript><node.js><typescript><visual-studio-code><intellisense>,0,0,,,,CC BY-SA 4.0,"const http = require('http');

http.createServer();

createServer()
function createServer<typeof http.IncomingMessage, typeof http.ServerResponse>(requestListener?: http.RequestListener<typeof http.IncomingMessage, typeof http.ServerResponse>): http.Server<typeof http.IncomingMessage, typeof http.ServerResponse> (+1 overload)

function createServer(requestListener?: (request: IncomingMessage, response: ServerResponse) => void): Server

""typescript.inlayHints""
jsconfig.json",['https://i.sstatic.net/cWiaxG7g.png']
93,79144476,1,,,2024-10-31 11:10:50,,-1,14,"As you can see from the screenshot my unit test is crashing after I implemented exceljs.
Any idea how to fix it?
I have tried with
import * as ExcelJS from 'exceljs';

but it didn't help.
Also, tried with
 moduleNameMapper: {
   ""ExcelJS"": require.resolve('ExcelJS'),
   ""uuid"": require.resolve('uuid'), 
}

in jest.config.js, but it's still crashing

The suggested solution to modify the transformIgnorePatterns array in jest.config.js is not working because there is already line of modules and adding another line (array element) causes the conflict.
",6523359.0,,6523359.0,,2024-10-31 11:49:16,2024-10-31 11:49:16,ExcelJS crashes unit tests in JEST,<unit-testing><jestjs><exceljs>,0,3,,,,CC BY-SA 4.0,"import * as ExcelJS from 'exceljs';

 moduleNameMapper: {
   ""ExcelJS"": require.resolve('ExcelJS'),
   ""uuid"": require.resolve('uuid'), 
}
",['https://i.sstatic.net/FFZhjMVo.png']
105,79144187,1,,,2024-10-31 09:41:55,,0,14,"I am deploying my build on Vercel. It is working fine locally but when I build it on Vercel, I am getting an error when I try to access my database through Prisma:
""Request failed with status code 500""

Below you'll see my API route.ts file :
import { db } from ""@/lib/db"";
import { Prisma } from '@prisma/client'
import { NextResponse } from ""next/server"";


export async function POST (req : Request, ) 
{
    try 
    {
        const { email } = await req.json();
        const contact = await db.contact.create({data: {email}})
        return NextResponse.json(contact);
    } 

    catch (error) 
    {
        if (error instanceof Prisma.PrismaClientKnownRequestError) 
        {
            console.log(""[CONTACT]"", ""Email déjà existant"");
            return NextResponse.json({message: ""Email déjà existant"" }, {status : 520});
        }
        else { 
            console.log(""[CONTACT]"", error);
            return NextResponse.json({message: ""Erreur de serveur"" }, {status : 500});
        }
    }
}

Below you'll see my db.ts file :
// In Pre-Production ⬇️

/* 
import { PrismaClient } from ""@prisma/client"";
declare global {var prisma: PrismaClient | undefined;};
export const db = globalThis.prisma || new PrismaClient();
if (process.env.NODE_ENV !== ""production"") globalThis.prisma = db;
*/

// In production ⬇️

import { PrismaClient } from ""@prisma/client"";
export const db = new PrismaClient();

// Prisma Studio
// >>> npx prisma studio

I also include my schema.prisma file :
generator client {
  provider = ""prisma-client-js""
}

datasource db {
  provider      = ""cockroachdb""
  url           = env(""DATABASE_URL"")
  relationMode  = ""prisma""
}

model Contact {
  email     String   @id @unique
  creation  DateTime @default(now())
}

To solve this issue, here is what I've tried so far :

I updated my code in db.ts file by adding the ""production"" part (which didn't work)
In the package.json file I added a postinstall command whithin the script section

""scripts"": {
    ""postinstall"": ""prisma generate""
  }

Any idea on how to solve this issue?
",11622142.0,,,,,2024-10-31 09:41:55,Error 500 while deploying Prisma on Vercel,<reactjs><next.js><prisma><vercel>,0,0,,,,CC BY-SA 4.0,"import { db } from ""@/lib/db"";
import { Prisma } from '@prisma/client'
import { NextResponse } from ""next/server"";


export async function POST (req : Request, ) 
{
    try 
    {
        const { email } = await req.json();
        const contact = await db.contact.create({data: {email}})
        return NextResponse.json(contact);
    } 

    catch (error) 
    {
        if (error instanceof Prisma.PrismaClientKnownRequestError) 
        {
            console.log(""[CONTACT]"", ""Email déjà existant"");
            return NextResponse.json({message: ""Email déjà existant"" }, {status : 520});
        }
        else { 
            console.log(""[CONTACT]"", error);
            return NextResponse.json({message: ""Erreur de serveur"" }, {status : 500});
        }
    }
}

// In Pre-Production ⬇️

/* 
import { PrismaClient } from ""@prisma/client"";
declare global {var prisma: PrismaClient | undefined;};
export const db = globalThis.prisma || new PrismaClient();
if (process.env.NODE_ENV !== ""production"") globalThis.prisma = db;
*/

// In production ⬇️

import { PrismaClient } from ""@prisma/client"";
export const db = new PrismaClient();

// Prisma Studio
// >>> npx prisma studio

generator client {
  provider = ""prisma-client-js""
}

datasource db {
  provider      = ""cockroachdb""
  url           = env(""DATABASE_URL"")
  relationMode  = ""prisma""
}

model Contact {
  email     String   @id @unique
  creation  DateTime @default(now())
}

""scripts"": {
    ""postinstall"": ""prisma generate""
  }
",['https://i.sstatic.net/Hh8PTnOy.png']
